"Story","Title","Result","Date","Stability","Duration (s)"
"Absences","Booking managing absences","SUCCESS","2021-07-07T13:20:35.1382404+01:00[Europe/London]","0.0","15.07"
"Absence Reasons","Create an absence reason","SUCCESS","2021-07-07T13:20:50.2443566+01:00[Europe/London]","0.0","8.84"
"Loan Agreements","Create an loan agreement","SUCCESS","2021-07-07T13:20:59.1274101+01:00[Europe/London]","0.0","4.24"
"Prepare Payroll","Creating a payment","SUCCESS","2021-07-07T13:21:03.3903606+01:00[Europe/London]","0.0","2.89"
"Overtime","Creating availability","SUCCESS","2021-07-07T13:21:06.3060669+01:00[Europe/London]","0.0","4.69"
"Overtime","Editing availability","SUCCESS","2021-07-07T13:21:11.0228226+01:00[Europe/London]","0.0","4.28"
"Overtime","Deleting availability","SUCCESS","2021-07-07T13:21:15.323029+01:00[Europe/London]","0.0","2.94"
"Overtime","Create an overtime reason","SUCCESS","2021-07-07T13:21:18.2916518+01:00[Europe/London]","0.0","3.34"
"Client Time slot","Booking a Client Time Slot","ERROR","2021-07-07T13:21:21.6567145+01:00[Europe/London]","0.0","5.06"
"Client Time slot","Editing a booked Client Time Slot","SUCCESS","2021-07-07T13:21:26.8360009+01:00[Europe/London]","0.0","4.98"
"Client Time slot","Deleting a booked Client Time Slot","SUCCESS","2021-07-07T13:21:31.8482238+01:00[Europe/London]","0.0","2.86"
"Training slot","Booking a Training Slot","ERROR","2021-07-07T13:21:34.7213318+01:00[Europe/London]","0.0","4.75"
"Training slot","Editing a booked Training Slot","ERROR","2021-07-07T13:21:39.5151596+01:00[Europe/London]","0.0","4.71"
"Training slot","Deleting a booked Training Slot","SUCCESS","2021-07-07T13:21:44.2447093+01:00[Europe/London]","0.0","2.84"
"Wow Chat slot","Booking a WOW Chat Slot","ERROR","2021-07-07T13:21:47.1234196+01:00[Europe/London]","0.0","4.78"
"Wow Chat slot","Editing a booked WOW Chat Slot","ERROR","2021-07-07T13:21:51.9559751+01:00[Europe/London]","0.0","12.44"
"Wow Chat slot","Deleting a booked WOW Chat Slot","ERROR","2021-07-07T13:22:04.4288912+01:00[Europe/London]","0.0","3.67"
"Update Employee's Details","Update Employee's Details","ERROR","2021-07-07T13:22:08.1487066+01:00[Europe/London]","0.0","2.86"
"Booking Time Off","Booking a Holiday","SUCCESS","2021-07-07T13:22:11.0544493+01:00[Europe/London]","0.0","3.47"
"Booking Time Off","Checking for a Holiday booking conflict","SUCCESS","2021-07-07T13:22:14.5591382+01:00[Europe/London]","0.0","2.74"
"Booking Time Off","Cancelling a booked Holiday","ERROR","2021-07-07T13:22:17.3261366+01:00[Europe/London]","0.0","7.19"
"Booking Time Off","Booking Time in Lieu","SUCCESS","2021-07-07T13:22:24.5491284+01:00[Europe/London]","0.0","2.71"
"Booking Time Off","Checking for Time in Lieu booking conflict","SUCCESS","2021-07-07T13:22:27.2786231+01:00[Europe/London]","0.0","2.79"
"Booking Time Off","Cancelling booked Time In Lieu","ERROR","2021-07-07T13:22:30.0886884+01:00[Europe/London]","0.0","7.36"
"Booking Time Off","Booking an Appointment","SUCCESS","2021-07-07T13:22:37.5140738+01:00[Europe/London]","0.0","3.2"
"Booking Time Off","Checking for a Appointment booking conflict","SUCCESS","2021-07-07T13:22:40.7489735+01:00[Europe/London]","0.0","3.07"
"Booking Time Off","Cancelling booked Appointment","ERROR","2021-07-07T13:22:43.8356458+01:00[Europe/London]","0.0","7.23"
"Logging in and out","Log as an Admin User","SUCCESS","2021-07-07T13:22:51.0905533+01:00[Europe/London]","0.0","1.89"
"Search by keyword","Searching for a term","SUCCESS","2021-07-07T13:22:53.009348+01:00[Europe/London]","0.0","2.34"
